0 0.00000 0.00000
1 1.00000 1.00000
2 1.31713 1.55199
3 1.56979 2.01149
4 1.83631 2.42327
5 2.05619 2.78622
6 2.28193 3.09651
7 2.45474 3.40247
8 2.62767 3.65869
9 2.76082 3.88647
10 2.89985 4.11366
11 3.01144 4.31387
12 3.14063 4.52616
13 3.27070 4.71773
14 3.37634 4.93314
15 3.51790 5.12423
16 3.63979 5.33993
17 3.74951 5.50837
18 3.86751 5.68771
19 3.97390 5.86960
20 4.07792 6.08198
21 4.21238 6.28197
22 4.36340 6.46153
23 4.49156 6.60594
24 4.57493 6.73689
25 4.66333 6.91532
26 4.75912 7.08061
27 4.85194 7.22759
28 4.94000 7.41418
29 5.02704 7.56542
30 5.10465 7.66911
31 5.18236 7.80675
32 5.27733 7.93903
33 5.39729 8.07124
34 5.46807 8.18340
35 5.53481 8.31697
36 5.59361 8.49666
37 5.67095 8.62541
38 5.73928 8.77338
39 5.77082 8.87829
40 5.82426 9.01438
41 5.92142 9.11386
42 6.02350 9.21283
43 6.08704 9.32157
44 6.13997 9.44252
45 6.20439 9.55546
46 6.28242 9.66236
47 6.34401 9.77471
48 6.39382 9.86076
49 6.47596 9.96735
50 6.49574 10.07937
51 6.58051 10.21204
52 6.63079 10.33632
53 6.70052 10.43664
54 6.77159 10.53703
55 6.79560 10.62140
56 6.87173 10.75145
57 6.93992 10.84545
58 6.99406 10.92199
59 7.04591 11.01236
60 7.10444 11.09451
61 7.16027 11.16058
62 7.20905 11.24618
63 7.24809 11.36056
64 7.33369 11.46710
65 7.37665 11.57715
66 7.43560 11.66202
67 7.50398 11.76059
68 7.57505 11.87286
69 7.63632 11.97091
70 7.67278 12.06150
71 7.71024 12.17353
72 7.78279 12.29166
73 7.82458 12.36559
74 7.88008 12.43405
75 7.94738 12.51118
76 7.98659 12.59244
77 8.03897 12.67994
78 8.09747 12.77076
79 8.12824 12.82596
80 8.18098 12.90843
81 8.20803 12.96475
82 8.25845 13.01772
83 8.30922 13.09215
84 8.34119 13.16754
85 8.40233 13.23976
86 8.42074 13.31100
